Série,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
A.c. Séries financières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taux d'intérêt à long terme,"20,0%","10,2%","9,5%","9,8%","9,2%","8,8%","7,9%","6,5%","6,1%","6,5%","6,4%","6,4%","6,3%","7,5%","8,2%","8,3%","8,9%","8,1%","7,3%","7,5%","6,8%","6,0%","5,7%","5,9%","5,1%","5,1%","4,6%","4,3%","4,3%","3,8%","4,1%","5,1%","4,5%","4,0%","4,0%","3,8%","3,8%","3,8%","3,8%","3,8%","3,8%","3,9%","3,8%","3,8%","3,7%","3,6%","3,7%","4,0%","6,6%","5,7%","5,4%","5,4%","4,1%","3,9%","4,4%","4,6%","4,4%","4,5%","4,3%","4,5%","4,4%","4,5%","4,4%","4,5%","4,6%","4,5%","4,5%","4,4%","4,4%","4,3%","4,8%","5,7%","5,6%","5,4%","5,0%","4,7%","4,5%","4,3%","4,1%","3,8%","3,6%","3,6%","3,7%","3,9%","3,9%","3,8%","3,7%","3,8%","3,7%","3,6%","3,3%","3,2%","3,1%","3,1%","3,0%","3,0%","3,0%","2,9%","3,0%","3,0%","3,0%","3,0%","3,0%","3,1%","3,1%","3,1%","3,1%","3,2%","3,2%","3,1%","3,1%","3,2%","3,3%","3,5%","3,7%","4,4%","4,9%","5,0%","5,1%","5,2%","5,9%","6,7%","6,4%","6,3%","6,7%","7,6%","8,9%","7,4%","6,0%","5,4%","4,7%","4,7%","5,2%","5,8%","6,1%","5,7%","6,3%","6,7%","6,9%","5,7%","5,9%","4,5%","3,8%","3,8%","3,8%","3,6%","4,4%","5,0%","5,9%","6,8%","7,0%","7,0%","6,7%","6,4%","6,4%","6,0%","6,3%","6,5%","6,7%","5,9%","5,8%","5,6%","5,7%","5,3%","5,5%","6,2%","6,6%","6,8%","7,2%","8,3%","8,8%","8,5%","8,1%","8,9%","10,9%","10,5%","10,4%","11,0%","10,7%","10,6%","13,9%","16,4%","16,6%","14,6%","13,3%","11,7%","8,8%","9,6%","9,1%","8,8%","9,9%","9,0%","8,6%","6,9%","7,4%","7,6%","6,4%","5,6%","4,7%","4,7%","5,5%","5,0%","4,9%","4,2%","4,2%","3,5%","3,9%","4,4%","4,3%","3,7%","3,2%","3,4%","2,6%","2,3%","1,7%","0,9%"
Taux d'intérêt à court terme,"6,0%","6,0%","6,0%","6,0%","6,0%","6,0%","6,5%","5,4%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,5%","4,4%","5,0%","5,0%","5,0%","5,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","4,0%","5,0%","4,0%","4,0%","4,0%","4,0%","3,2%","3,2%","4,3%","4,4%","5,5%","6,2%","3,7%","3,5%","3,6%","5,5%","3,8%","4,6%","6,5%","3,7%","3,7%","2,7%","2,5%","2,5%","4,0%","5,7%","5,2%","5,2%","4,3%","4,0%","3,4%","2,3%","2,2%","2,6%","2,8%","3,8%","3,8%","3,1%","3,0%","3,0%","3,0%","3,0%","3,1%","3,2%","3,0%","3,0%","2,7%","2,5%","2,5%","2,1%","2,0%","2,0%","2,2%","3,1%","3,3%","3,0%","3,0%","3,0%","3,0%","3,0%","3,0%","3,5%","3,0%","3,0%","3,0%","3,1%","3,4%","4,0%","4,2%","5,0%","5,0%","5,0%","5,0%","5,0%","5,7%","5,8%","5,1%","5,0%","6,0%","6,5%","6,6%","5,2%","3,5%","3,0%","2,1%","1,3%","0,7%","1,4%","1,6%","2,7%","3,1%","3,2%","2,2%","1,6%","1,7%","1,7%","1,6%","1,6%","1,6%","1,4%","1,3%","1,6%","2,1%","2,3%","2,5%","2,7%","3,8%","4,0%","3,6%","3,2%","3,2%","5,3%","6,5%","4,1%","4,1%","3,6%","3,6%","4,0%","4,7%","4,2%","4,8%","4,8%","6,2%","9,0%","8,7%","5,8%","5,0%","8,9%","12,9%","7,9%","8,6%","9,1%","8,0%","9,0%","11,8%","15,3%","14,9%","12,5%","11,7%","9,9%","7,7%","8,0%","7,5%","9,1%","10,0%","9,5%","10,4%","8,7%","5,7%","6,4%","3,7%","3,2%","3,4%","2,7%","4,1%","4,4%","3,3%","2,3%","2,0%","2,1%","2,8%","3,9%","3,9%","0,7%","0,4%","0,9%","0,2%","0,1%","0,1%","-0,1%"
"Valeur d'un investissement en actions, dividendes réinvestis (€, base 2000) (après correction en juin 2017 d'une erreur de statut fiscal dans les valeurs 2010 et suivantes)",,,"3,32648081642798E-08","3,63409090176327E-08","3,93224554137961E-08","4,74272902602084E-08","4,66032958677918E-08","5,44729138551851E-08","5,81111579453764E-08","5,97175379561809E-08","6,50959440482711E-08","6,73196794128939E-08","7,06524782398019E-08","6,44388309141373E-08","6,39685625760748E-08","6,88620000840229E-08","7,8828881022475E-08","1,02686715205251E-07","1,27066661332447E-07","1,25885921591316E-07","1,2919973580623E-07","1,46058856223015E-07","1,58985946719565E-07","1,6359444251176E-07","2,12993815710035E-07","2,44759036365784E-07","2,39729215064651E-07","2,42800137105948E-07","2,33806947064003E-07","2,40007478670306E-07","2,48802586664353E-07","2,27626399453507E-07","2,49482664710345E-07","2,71948545375042E-07","2,92212113471154E-07","3,40215279455128E-07","4,01423182557007E-07","4,59462573758393E-07","5,08832114061162E-07","5,42364220966316E-07","6,46869076621462E-07","6,8543577782659E-07","7,31512854587309E-07","7,70248658531118E-07","8,17620495921539E-07","8,93569235831778E-07","9,25741557682987E-07","8,84411758184684E-07","5,22393642873409E-07","7,01874708478823E-07","7,41221564475094E-07","7,74683670246377E-07","1,07853936831526E-06","1,17649271576211E-06","1,20882122496156E-06","1,40346910949078E-06","1,80940024049792E-06","2,12056699395013E-06","2,35034971390677E-06","2,27219349316483E-06","2,41193566994721E-06","2,58294785099675E-06","2,99508939938505E-06","3,36089144595334E-06","3,46959422075408E-06","3,8513892407764E-06","4,00971914948248E-06","4,01190862933074E-06","3,98089415898643E-06","3,90806175125472E-06","3,76003592794431E-06","4,38297396697632E-06","5,6053958913147E-06","6,36414286204547E-06","6,33270239566265E-06","6,94976976196059E-06","7,06752708081038E-06","6,62549979052736E-06","7,06267261973044E-06","7,42918421429722E-06","8,4503989444943E-06","1,28335134745702E-05","1,29688297652027E-05","1,34730630280477E-05","1,3480839812239E-05","1,38988586117489E-05","1,27722818178891E-05","1,30853839896133E-05","1,25859521752109E-05","1,35594782456544E-05","1,50233212684424E-05","1,63684777022701E-05","1,60613789946147E-05","1,59387520771843E-05","1,61939338543804E-05","1,58419760663841E-05","1,63072088168869E-05","1,75690193562175E-05","1,81767458244349E-05","2,01785890591439E-05","2,07429074273642E-05","2,00848392927542E-05","2,07335545446377E-05","2,14453893475073E-05","2,22399642388307E-05","2,3417650733363E-05","2,47718704727377E-05","2,59045392712762E-05","2,77321146870566E-05","2,95937661121039E-05","3,10294704524372E-05","3,12586744943305E-05","3,39967642778384E-05","3,78234434537063E-05","3,63222225894181E-05","3,7578577314253E-05","4,21854781127065E-05","4,60003594395078E-05","4,80815581525633E-05","5,57135956848109E-05","7,02464722069296E-05","5,4666009375871E-05","5,94803695288654E-05","8,98489571833759E-05","0,000112502856215","0,000111610446559","0,000134888570787","0,000172482543668","0,000259209771368","0,000325007622333","0,000288245075223","0,000208661259345","0,000172657053806","0,000171246130629","0,000149022724333","0,00014832295794","0,000149282613474","0,000195437053421","0,000186272630238","0,000212426291239","0,000310417855399","0,00061248318832","0,001030966185093","0,001178833896193","0,001234811982818","0,001003102512374","0,001278110396794","0,001687165983463","0,001855553510608","0,001686366791468","0,001592268991668","0,002063821305904","0,00282949881958","0,003282611789233","0,004682170445176","0,006884208234618","0,007244806541563","0,009460422966872","0,008736658355137","0,011221226892093","0,013841879783142","0,016590245586936","0,018320355911663","0,017018556269007","0,014957186832463","0,014090502548929","0,013921245783873","0,013072566047751","0,014556673896154","0,018579506009108","0,019809588927907","0,019900007199018","0,022897533743596","0,025532039771124","0,021571276849687","0,023060106866086","0,024242195196042","0,021297645329188","0,028322902991357","0,036988551350153","0,042731133943653","0,039659094254905","0,041906103924887","0,058084419842083","0,082706662280168","0,108852969465615","0,176664504075138","0,202876426689302","0,179487604559183","0,25034481653332","0,25395764032232","0,252154047228039","0,259694685474947","0,287640251541137","0,311726484585444","0,28174574889213","0,33301808231181","0,438271358111832","0,582316156209199","0,720674266302505",1,"0,818","0,649","0,557","0,679","0,820","1,020","1,186","0,917","0,743","0,881","0,894","0,883","1,090","1,249","1,444"
"Valeur d'un investissement en obligations, intérêts réinvestis (€, base 2000)","4,63731881715722E-06","9,45712069969779E-06","1,09715072182845E-05","1,17660310495167E-05","1,36665479613881E-05","1,5572282447094E-05","1,86768206023965E-05","2,44400272062325E-05","2,71704508712131E-05","2,75629733155924E-05","2,96936851797528E-05","3,16247250392286E-05","3,37658490358994E-05","3,09808573136109E-05","3,14550428701212E-05","3,2700051002968E-05","3,30019776720116E-05","3,93150106400195E-05","4,65233242615138E-05","4,87692226606917E-05","5,70309196742978E-05","6,88808509434465E-05","7,67121156637549E-05","7,8753888100007E-05","9,57861058633565E-05","9,91156477064292E-05","9,91386662080215E-05","0,000108321597149","0,000116276649548","0,000130490797411","0,000127660778063","0,000113361603816","0,000131392178545","0,00014968431426","0,000159262037955","0,000171037601243","0,000178478833498","0,000186167714769","0,000196175695262","0,000205490427823","0,000215610958332","0,000224001946361","0,000240784126486","0,000255260423283","0,000267730009131","0,000278383419821","0,000288333611118","0,000285894860291","0,000193480000646","0,000231337111809","0,000262339350797","0,000276402772877","0,00034404808665","0,000364926971603","0,000351167756485","0,000352672047988","0,000378245703335","0,000388038191934","0,000420278874026","0,000430868115195","0,000458437688544","0,000477921776724","0,000508127802576","0,000522574967208","0,000529103452425","0,000569730611476","0,000598101958812","0,00063572453874","0,000676302911801","0,000719167788822","0,000678440327595","0,000617324858793","0,000650709478556","0,00071210003269","0,000808347084633","0,000910144069671","0,000993159499099","0,001056763168557","0,00116176877941","0,001279557604687","0,001378007720582","0,001430977754543","0,001447385103712","0,001453930974332","0,001483368839585","0,001569000304852","0,00165488454389","0,001695917361327","0,001755385581373","0,001855141805445","0,002010058444605","0,002125130404674","0,002246219908768","0,002331844263774","0,002465790878484","0,002560181613269","0,002624688594592","0,002736653944156","0,002808050968373","0,002829766348629","0,002906712493764","0,003005395764645","0,003085777746239","0,003101141803811","0,003180415733165","0,003340687880508","0,00338186508653","0,003389690241379","0,003549152666443","0,003719593698206","0,003841444675321","0,003865451745395","0,003862495995271","0,003759216239759","0,003723448960697","0,003229815130755","0,003042246845511","0,003128136822851","0,003267299400041","0,003410913732982","0,003425172198139","0,003446430179053","0,003744124799487","0,004019360910023","0,004146922675515","0,004202425510787","0,004180431580812","0,004966559072459","0,005796280574773","0,006417457191006","0,007071311091354","0,007408054146775","0,007463008420393","0,007562324105775","0,007868366456976","0,00856315769447","0,008664164090763","0,009018905171405","0,009474028943434","0,010926758929919","0,011401451993801","0,01324381200558","0,014586810705488","0,015122850732991","0,015668754077639","0,016438770734048","0,016157693955885","0,016149489572723","0,015981190988335","0,015890319750464","0,016801292956217","0,017968126466941","0,019666140990101","0,021269876722465","0,022697466075567","0,024743683148301","0,025736319962925","0,027077318675236","0,02846461145406","0,031796010605614","0,033943528574818","0,036276860704688","0,03828590924409","0,0412981946559","0,04298041878982","0,043346459221547","0,044989403691653","0,047315166079509","0,049437838449879","0,049610991978537","0,051997915829927","0,057465682345375","0,063972124910782","0,066231145589556","0,064553763103236","0,073141863574372","0,080991449003894","0,086986993333353","0,098207569428571","0,108804234064296","0,102607322942433","0,105326077562736","0,121598300975493","0,153570910628298","0,186024823690405","0,226868967566677","0,294096286630862","0,306149411282806","0,344499135595461","0,381853137007846","0,389915660727084","0,449630104303335","0,502615243397583","0,601417054748493","0,625807620935432","0,662298302085988","0,765950923973626","0,855014219310441","0,959077465490211","1,00633811044636",1,"1,083","1,147","1,267","1,322","1,447","1,454","1,457","1,526","1,662","1,790","1,819","1,996","2,099","2,245","2,441"
"Valeur d'un investissement au marché monétaire, intérêts réinvestis (€, base 2000) (*)","0,00015348041099","0,00016268923565","0,000172450589788","0,000182797625176","0,000193765482686","0,000205391411648","0,000218741853405","0,000230553913488","0,000239776070028","0,000249367112829","0,000259341797342","0,000269715469236","0,000280504088005","0,000291724251526","0,000304793497994","0,000318112973856","0,000334018622549","0,000350719553677","0,00036825553136","0,000386668307928","0,000402173707076","0,000418260655359","0,000434991081574","0,000452390724837","0,00047048635383","0,000489305807983","0,000508878040303","0,000529233161915","0,000550402488391","0,000572418587927","0,000595315331444","0,000619127944702","0,00064389306249","0,00066964878499","0,000696434736389","0,000724292125845","0,000753263810879","0,000783394363314","0,000814730137846","0,00084731934336","0,000881212117095","0,000916460601778","0,00095311902585","0,000991243786884","0,001030893538359","0,001072129279893","0,001115014451089","0,001170207666418","0,001217015973075","0,001265696611998","0,001316324476477","0,001368977455537","0,001412374040877","0,001457993722397","0,00152068745246","0,00158820597535","0,001675716124591","0,001778772666254","0,001844587254905","0,001908225515199","0,001977494101401","0,002086651775799","0,002165318547746","0,002265789328362","0,002413065634705","0,002502831676316","0,002594685598837","0,002665001578565","0,00273162661803","0,00279991728348","0,002911633983091","0,003077888283526","0,003236399530127","0,003403074105929","0,003549406292484","0,003691382544183","0,003816889550685","0,003903914632441","0,003989019971428","0,004091936686691","0,004206920107587","0,004368465839718","0,004534467541628","0,00467412914191","0,004814353016167","0,004958783606652","0,005107547114852","0,005260773528297","0,005423857507674","0,005595251404917","0,005763108947064","0,005936002215476","0,006096274275294","0,006248681132176","0,006404898160481","0,006539401021851","0,006670189042288","0,006803592823134","0,006953271865243","0,007166041984319","0,00739893834881","0,007620906499274","0,007849533694252","0,00808501970508","0,008327570296232","0,008577397405119","0,008834719327272","0,009139517144063","0,009417358465243","0,0096998792192","0,009990875595776","0,010303590001924","0,010650820984989","0,011076853824388","0,011544297055778","0,012121511908567","0,012727587503995","0,013363966879195","0,014032165223154","0,014733773484312","0,015578018704963","0,01647998598798","0,017322113271966","0,018188218935565","0,019277693249805","0,020536526619017","0,021887830070548","0,023030374800231","0,023843347030679","0,024568184780412","0,025081659842323","0,025405213254288","0,02559321183237","0,025946398155657","0,02637191908541","0,027070774941173","0,027909968964349","0,028789132986726","0,02941097825924","0,029869789520084","0,030383549899829","0,030890955183156","0,031391388657124","0,0319062074311","0,032416706749998","0,032864057303148","0,033291290048089","0,033813963301844","0,034520675134852","0,0353008423929","0,036183363452723","0,037160314265946","0,038569928853768","0,040129439643755","0,041571424174954","0,042885081178882","0,04425097101443","0,046617660447518","0,04964081572754","0,051662437948044","0,053771556977273","0,055731978325402","0,057744831609255","0,060069542288457","0,062912833956778","0,065557794351044","0,068689817976165","0,071985211993572","0,07644709538364","0,083310133371706","0,090545549029928","0,095841030010319","0,100597859932306","0,109562722051723","0,123707908584479","0,133500523538103","0,144925498342494","0,158069516414666","0,170682805201572","0,186115944447898","0,208161222971131","0,240011624762572","0,275700753335704","0,310263289025752","0,346695438634119","0,381150695825168","0,410658525106887","0,443411588201556","0,47677653656737","0,52002465807975","0,571795106219445","0,626061892570308","0,690869524128913","0,75131502296154","0,79412031986058","0,844574158792682","0,876065373164505","0,904435144154587","0,934786480200508","0,960391839870667",1,"1,044","1,078","1,103","1,126","1,149","1,182","1,228","1,275","1,284","1,290","1,301","1,304","1,305","1,307","1,306"
"Prix de l'or (€, base 2000)",,,,"0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000547690434575","0,000575074956304","0,001232303477794","0,001664978921109","0,001287072521252","0,001577348451576","0,002267438399141","0,001955254851433","0,002815128833716","0,002661775512035","0,002697375390283","0,002697375390283","0,002697375390283","0,002697375390283","0,002697375390283","0,002697375390283","0,002697375390283","0,002697375390283","0,002697375390283","0,003833833042026","0,005214012937156","0,006709207823546","0,007519789666717","0,03858479111582","0,072623751624667","0,083002485359866","0,101623960135422","0,112495615261739","0,147191804292076","0,092011993008628","0,127885716473301","0,12459957386585","0,10077503996183","0,117753443433661","0,111728848653334","0,100501194744543","0,075033589536798","0,072021292146634","0,088452005183889","0,101870420830981","0,098858123440817","0,097488897354379","0,100227349527255","0,10762117039402","0,111455003436046","0,113919610391634","0,115014991260785","0,121861121692974","0,126516490386863","0,136101072991929","0,159377916461373","0,196620866012484","0,158830226026798","0,166224046893563","0,187310128624707","0,307802024231243","0,708163731905689","0,679136138873205","0,625188631067551","0,667634639747127","0,727059051898532","1,01733498222337","2,03877764270605","2,33699508433223","1,7312494636921","1,88405509493857","1,69893572805216","1,52641324116099","1,48013339943938","1,45083196118961","1,38346603773687","1,23887576300902","1,1268730691384","1,06835234620405","0,925843295127588","1,03020570743589","1,08100399524273","0,973957899805017","1,00008273353425","0,979325266063853","0,893940327313585","0,866657304958223",1,"1,006","1,086","1,061","1,085","1,177","1,570","1,661","1,957","2,297","3,048","3,748","4,284","3,497","3,085","3,340"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.d. Séries immobilières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indice du prix des logements, France (€, base 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,000680521795783","0,000815331826299","0,000791554671568","0,000761264995042","0,000798096462607","0,000855728525869","0,001146757614887","0,001711544275713","0,002021972366259","0,002193727556006","0,002736715207548","0,003362287296504","0,004180089054215","0,005205719391374","0,005534178551731","0,006246498960899","0,007438476435518","0,008407558744839","0,009556237064307","0,011626722987266","0,014973825916465","0,018739247583713","0,023254262764161","0,028577396109777","0,035021871832126","0,04026118309899","0,047063133055883","0,057974115333846","0,071203809693381","0,086195802170487","0,095073266198565","0,100542247448421","0,108127008052746","0,119434171715084","0,124319310182989","0,131725055558326","0,143673292847983","0,158893461166967","0,182414164233926","0,204174740027399","0,236595167815327","0,27262613806294","0,304425856602445","0,344392829037056","0,412668149650851","0,458092111665591","0,483791003843418","0,50851266682631","0,528351026855134","0,545782469758347","0,571130230982918","0,611728693242996","0,677761687520089","0,75950056006158","0,826407234113268","0,869413946657647","0,84882452124942","0,836591320843181","0,835043807614825","0,827433146756823","0,834695747873196","0,849451359109658","0,858987530749018","0,91980198019802",1,"1,079","1,172","1,312","1,510","1,743","1,952","2,080","2,100","1,950","2,050","2,171","2,160","2,114","2,077","2,039"
"Indice du prix des logements, Paris (€, base 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,0157904721124E-05","8,16478286006988E-05","8,31377524802736E-05","8,16478286006988E-05","8,7309539343083E-05","9,44611739650421E-05","9,32692348613822E-05","9,44611739650421E-05","9,74410217241917E-05","8,46276763598484E-05","8,61176002394232E-05","9,02893871022326E-05","9,02893871022326E-05","9,17793109818074E-05","0,000106082580226","0,000108764443209","0,00011889592559","0,000134689118714","0,000140350829456","0,00015316417482","0,000151972235717","0,000148992387957","0,000150482311837","0,000159123870339","0,00015316417482","0,000163295657201","0,000176109002566","0,000174917063462","0,000194882043448","0,00020352360195","0,000190710256586","0,000174917063462","0,000170447291823","0,000164785581081","0,000146012540198","0,000150482311837","0,000159123870339","0,000168957367944","0,000176109002566","0,000200543754191","0,000217826871194","0,000230640216558","0,000223488581936","0,000227958353575","0,000214847023435","0,000214847023435","0,000212165160451","0,000213357099555","0,000212165160451","0,000221998658057","0,000224978505816","0,000224978505816","0,000224978505816","0,000232130140438","0,000226468429695","0,000217826871194","0,000219316795073","0,000224978505816","0,000224978505816","0,000233620064317","0,000246433409682","0,000246433409682","0,000247923333561","0,000252095120424","0,00025090318132","0,000247923333561","0,00025090318132","0,000253585044304","0,000256564892063","0,000262226602805","0,00027503994817","0,000283681506671","0,00028666135443","0,000289343217413","0,000297984775915","0,000314463196703","0,000350166441743","0,000332314819223","0,000324075608829","0,000326822012294","0,000324075608829","0,000344673634814","0,000380376879855","0,000440797756077","0,000484740211511","0,000546534289466","0,000606955165689","0,000638538805532","0,000648151217658","0,000679734857502","0,000784098189159","0,00083216024979","0,000869236696563","0,000863743889634","0,000847265468846","0,000803323013411","0,000767619768371","0,000749768145851","0,000747021742386","0,000771739373568","0,000869236696563","0,00103264770271","0,001259225988544","0,001359469715004","0,001373201732327","0,00150214154015","0,001643188435847","0,001797479241158","0,001966257522211","0,002150883612519","0,002352845577116","0,003275570937646","0,004144239438744","0,005124086286976","0,006694986929296","0,008900231378805","0,012774658871806","0,019145358601267","0,022781725628183","0,024489395076044","0,030023110530498","0,037208982128065","0,044495653785398","0,05790580408855","0,068273763222512","0,082808691987686","0,087771052543383","0,084448959701079","0,097984592632971","0,112167238965476","0,116475417358801","0,123425588418143","0,134448051357365","0,148112550035446","0,174720448948121","0,187970014073225","0,21695295710988","0,242734701409183","0,252830791785553","0,290016348241623","0,339847831353659","0,38683140423469","0,395464379313651","0,411616592401707","0,438968152798324","0,485771917405218","0,543155355764778","0,635372612611315","0,787057804853027","0,96438731027554","1,13372690900377","1,15207031873457","1,036188582867","0,966302374428343","0,955484171224809","0,893361996704106","0,82042418220602","0,791075982204828","0,802375792302294","0,879910213243547",1,"1,093","1,190","1,340","1,520","1,737","1,933","2,113","2,262","2,148","2,392","2,842","2,906","2,872","2,822","2,776"
